title,folder_name,url
'Ndrangheta,'Ndrangheta,https://en.wikipedia.org/w/index.php?title=%27Ndrangheta&oldid=1349918875
10th Street Gang,10th_Street_Gang,https://en.wikipedia.org/w/index.php?title=10th_Street_Gang&oldid=1341956387
110ers,110ers,https://en.wikipedia.org/w/index.php?title=110ers&oldid=1339076254
116th Street Crew,116th_Street_Crew,https://en.wikipedia.org/w/index.php?title=116th_Street_Crew&oldid=1308614930
14K (triad),14K_(triad),https://en.wikipedia.org/w/index.php?title=14K_%28triad%29&oldid=1346890335
18th Street gang,18th_Street_gang,https://en.wikipedia.org/w/index.php?title=18th_Street_gang&oldid=1345443298
2019 Western Michoacán clashes,2019_Western_Michoacán_clashes,https://en.wikipedia.org/w/index.php?title=2019_Western_Michoac%C3%A1n_clashes&oldid=1323989469
211 Crew,211_Crew,https://en.wikipedia.org/w/index.php?title=211_Crew&oldid=1349592259
31 Gang,31_Gang,https://en.wikipedia.org/w/index.php?title=31_Gang&oldid=1316988349
38th Street gang,38th_Street_gang,https://en.wikipedia.org/w/index.php?title=38th_Street_gang&oldid=1348217739
39ers gang,39ers_gang,https://en.wikipedia.org/w/index.php?title=39ers_gang&oldid=1339076334
7th Street Gang,7th_Street_Gang,https://en.wikipedia.org/w/index.php?title=7th_Street_Gang&oldid=1341956768
80 Blocks from Tiffany's,80_Blocks_from_Tiffany's,https://en.wikipedia.org/w/index.php?title=80_Blocks_from_Tiffany%27s&oldid=1339383520
856 gang,856_gang,https://en.wikipedia.org/w/index.php?title=856_gang&oldid=1339076383
AK81,AK81,https://en.wikipedia.org/w/index.php?title=AK81&oldid=1340497687
Abergil crime family,Abergil_crime_family,https://en.wikipedia.org/w/index.php?title=Abergil_crime_family&oldid=1341248552
Doghmush clan,Doghmush_clan,https://en.wikipedia.org/w/index.php?title=Doghmush_clan&oldid=1345106664
Abner Zwillman,Abner_Zwillman,https://en.wikipedia.org/w/index.php?title=Abner_Zwillman&oldid=1332606564
Abu Sayyaf,Abu_Sayyaf,https://en.wikipedia.org/w/index.php?title=Abu_Sayyaf&oldid=1351269396
Africa Corps (Russia),Africa_Corps_(Russia),https://en.wikipedia.org/w/index.php?title=Africa_Corps_%28Russia%29&oldid=1351307364
Aggi Crew,Aggi_Crew,https://en.wikipedia.org/w/index.php?title=Aggi_Crew&oldid=1257779091
Ah Kong,Ah_Kong,https://en.wikipedia.org/w/index.php?title=Ah_Kong&oldid=1351180198
Aizukotetsu-kai,Aizukotetsu-kai,https://en.wikipedia.org/w/index.php?title=Aizukotetsu-kai&oldid=1291370544
Ajang Ajang group,Ajang_Ajang_group,https://en.wikipedia.org/w/index.php?title=Ajang_Ajang_group&oldid=1340013746
Al-Shabaab (militant group),Al-Shabaab_(militant_group),https://en.wikipedia.org/w/index.php?title=Al-Shabaab_%28militant_group%29&oldid=1349483865
Al-Zein crime family,Al-Zein_crime_family,https://en.wikipedia.org/w/index.php?title=Al-Zein_crime_family&oldid=1346406301
Al Indelicato,Al_Indelicato,https://en.wikipedia.org/w/index.php?title=Al_Indelicato&oldid=1332080316
Alameddine crime network,Alameddine_crime_network,https://en.wikipedia.org/w/index.php?title=Alameddine_crime_network&oldid=1348951845
